title,main_artist
TEASER,MORGENSHTERN
BESTIE,MORGENSHTERN
CCTV,MORGENSHTERN
Дор Блю,MORGENSHTERN
10 секунд тишины перед последним треком (skit),MORGENSHTERN
СКИТ ЗАБЛОКИРОВАН. СЛИВ В ТЕЛЕГЕ,MORGENSHTERN
Шантель,Филипп Киркоров
Бабочки,Филипп Киркоров
Знойные ночи,Филипп Киркоров
В саду Эдэмовом,Филипп Киркоров
Помню,Филипп Киркоров
Калимба де Луна,Филипп Киркоров
Таньки грязи не боятся,Филипп Киркоров
В этот час,Филипп Киркоров
Мир без твоей любви,Филипп Киркоров
Аспирин,Филипп Киркоров
Я такой нежный,Филипп Киркоров
А что ты такого сказала?,Филипп Киркоров
Холодно в городе,Филипп Киркоров
История,Филипп Киркоров
Жестокая любовь,Филипп Киркоров
Жестокая любовь,Филипп Киркоров
Жестокая любовь,Филипп Киркоров
Жестокая любовь,Филипп Киркоров
Жестокая любовь,Филипп Киркоров
Я за тебя умру,Филипп Киркоров
Я за тебя умру,Филипп Киркоров
Я за тебя умру,Филипп Киркоров
Техносила,Филипп Киркоров
Безболезненно (Intro),Zivert
Beverly Hills (Intro),Zivert
Двусмысленно (Intro),Zivert
Fly (Intro),Zivert
Бродяга-дождь (Intro),Zivert
Credo (Intro),Zivert
Шарик (Intro),Zivert
Life (Intro),Zivert
Life (Intro),Zivert
Life,Zivert
RM / PUSSY BOY 2,ЕГОР КРИД
Засыпай,ЕГОР КРИД
Под звуки поцелуев 2.0,Ольга Бузова
Завязывай,Ольга Бузова
Неверная,Ольга Бузова
Привыкаю,Ольга Бузова
Лимбо,Валерий Меладзе
Актриса,Валерий Меладзе
Паромщик,Алла Пугачёва
Осенний поцелуй,Алла Пугачёва
Гуд-бай,Алла Пугачёва
Ресницы и твои глаза,Алла Пугачёва
"Спасибо, любовь",Алла Пугачёва
Синее небо,Алла Пугачёва
Было однажды,Алла Пугачёва
Снежный мальчик,Алла Пугачёва
Не думай о секундах свысока,Микаэл Леонович Таривердиев
Не возвращайтесь к былым возлюбленным,Галина Беседина
Двое в кафе,Микаэл Леонович Таривердиев
На Тихорецкую состав отправится,Микаэл Леонович Таривердиев
Музыка,Микаэл Леонович Таривердиев
Где-то далеко,Микаэл Леонович Таривердиев
Люблю,Микаэл Леонович Таривердиев
"Любовь, не покидай меня",Микаэл Леонович Таривердиев
Песня старых комсомольцев,Микаэл Леонович Таривердиев
На Цветочной улице,Микаэл Леонович Таривердиев
Не исчезай,Галина Беседина
Я другом ей не был,Галина Беседина
Память,Микаэл Леонович Таривердиев
По вечерам,Микаэл Леонович Таривердиев
Сильная женщина,Алла Пугачёва
Ты мне должен закаты,Алла Пугачёва
Здесь родился я (Can no Laditi),Алла Пугачёва
"Да, да, нет, да",Алла Пугачёва
Песня о друге,Григорий Лепс
НАСТОЯЩИЙ МУЖЧИНА,SHAMAN
Роковая любовь,Григорий Лепс
Облака,Григорий Лепс
"Я верю, я дождусь",Григорий Лепс
Ростов,Баста
Детка,Баста
Босанова,Баста
Пальма де Майорка,Баста
Я люблю тебя до слёз,Мари Краймбрери
Понарошку,MIA BOYKA
Мой друг,Amirchik
Навсегда,Владимир Пресняков
Свадебные цветы,Купание обезьяны в тёплой воде
"Папа, мама",Анет Сай
Мадонна,Баста
Скит (Меньше слов),Баста
Меньше слов,Баста
Все кто в клубе,Баста
Скит (Город в огне),Баста
Город в огне,Баста
Скит (Мария Ивановна),Баста
Хочешь жить,Баста
Сложно,Баста
Финальный матч,Баста
Интро,Баста
"Рэп, который по-лютому прёт",Баста
Райские яблоки,Баста
Привет,Скриптонит
Интро,Скриптонит
Outro,Скриптонит
безмятежность main theme,Скриптонит
скатерть,Скриптонит
fast&furious,Скриптонит
эсмеральда,Скриптонит
"1, 2",Скриптонит
там где не ждали,Скриптонит
8ballin,Скриптонит
Съебаться,Скриптонит
Intro,Тимати
Когда ты рядом,Тимати
Сны,Тимати
Домой,Тимати
Девочка-конфета,Тимати
Маленький принц,Тимати
Олимп,Тимати
Посейдон,Тимати
"Nocturne ""Boss Life""",Тимати
Одноклассница,Тимати
Прыгай в тачку,Тимати
Cosmos,Тимати
Welcome To St. Tropez,Тимати
Sexy Bitch,Тимати
You Are My Life,NYUSHA
World Needs Your Love,NYUSHA
Ангел,NYUSHA
Малыш,Дима Билан
Ночь,Николай Расторгуев
Долго,Николай Расторгуев
Говори со мной,Николай Расторгуев
"Доброй, нежной, ласковой",Руки Вверх!
Выбирай сама,Руки Вверх!
Он не я,Руки Вверх!
Только для тебя,Руки Вверх!
Думала,Руки Вверх!
"Не бойся, я с тобой!",Руки Вверх!
У реки девчонка,Руки Вверх!
Уходи,Руки Вверх!
Студент,Руки Вверх!
Крошка моя,Руки Вверх!
Чужие губы,Руки Вверх!
Бандито,Руки Вверх!
Двигай телом,Руки Вверх!
Атаман,Руки Вверх!
"Ну где же вы, девчонки?",Руки Вверх!
Лишь о тебе мечтая,Руки Вверх!
"1, 2, 3, 4, 5",Руки Вверх!
Малыш,Руки Вверх!
Песенка,Руки Вверх!
Некрасивая,Руки Вверх!
Последний поцелуй,Руки Вверх!
Уходи,Руки Вверх!
Прости,Руки Вверх!
Увидимся в снах,Руки Вверх!
Она одна,Сергей Жуков
Нежность,Сергей Жуков
Летний вечер,Руки Вверх!
Стоят подружки,Руки Вверх!
Уходи,Руки Вверх!
Песенка № 5,Руки Вверх!
Маленькие девочки,Руки Вверх!
Об альбоме,Градусы
Меланхолия (Intro),Градусы
Твои волосы (Intro),Градусы
На твоей съёмной (Intro),Градусы
Бали (Intro),Градусы
О тебе думаю (Intro),Градусы
Поговори со мной (Intro),Градусы
Монами (Intro),Градусы
